ID,bkg_numax,bkg_envWidth,bkg_envHeight,H1_power,H1_nu,H1_exp,H2_power,H2_nu,H2_exp
KIC8561202,1.787048950432676,0.9211902454156056,2.932064102035046,4.546004659093154,1.7809112709029251,4.133456790847738,4.733817275668631,1.2404372951768972,3.5091591736192873
KIC8561216,1.766136728628307,0.8444099158841746,3.361228571881735,4.903520767951743,1.7816985181896028,4.653531420153356,5.152639742051647,1.1778028304413586,3.3559902516801348
KIC8561238,1.748929107564539,0.9590995493684512,3.091961697506452,4.723861428285003,1.7180950510795705,3.8891780621842815,4.8266242685835,1.2070523950295702,4.260991550195374
KIC8564157,2.227745114649237,1.1230753789831327,2.295409563867492,4.37083120911562,2.2956619877460245,4.007059433711567,4.298226339199019,1.660018555449681,4.460904989316621
KIC8564277,1.5042051809931587,0.7650503828648884,3.817203821750367,5.187935657292246,1.4747827543685883,3.716539948041772,5.354611916149966,0.9860884799057528,3.5164924736913337
KIC8564559,1.653237609033264,0.8626920564223153,3.199225467780104,4.751657221640508,1.6862670705386928,4.06366833260437,4.984013518613377,1.1529663503086214,3.9165342892040202
KIC8564860,1.8351832548488556,1.063034968912279,2.687245161517092,4.487723360697154,1.879041687050644,4.568940754631151,4.717642747525547,1.2672268420512764,3.4804941780504404
KIC8564966,1.9063265026598,0.9071149859997182,3.102342387946316,4.722981286062857,1.916750470736697,4.720879667595191,4.814251257981336,1.3393965061668724,3.9380697865048546
KIC8565016,1.78862964327799,0.9038701211202544,3.223866091111734,4.892792920074159,1.7861512357481946,4.555322513620244,5.058626309676832,1.1860925814030392,3.5602490804005336
KIC8565159,1.474979662934796,0.6861718614969567,3.982257336707152,5.313110531353567,1.488003296283558,4.176877149134727,5.383064969079991,0.9444566304557304,3.983577653453373
KIC8566248,1.4581893579017415,0.5934693492060317,3.852182131137527,5.225190812133121,1.4671435557210688,4.136842135045897,5.244127602727639,0.8931527176559537,3.689037879853727
KIC8569838,1.5210842976729138,0.7259317897185348,3.6571751037910376,4.980135744438602,1.5384218462300805,3.9728686432837548,5.141701856781998,1.0327908918156483,3.900467063322569
KIC8569885,1.6626657441233406,0.9306214988758748,2.755296576937812,4.523879764230196,1.723444330546586,4.233189972894544,4.605104753100153,1.2002833921559672,3.809520206447449
KIC8570254,1.5338283598963451,0.7296575345393825,3.695896254419984,4.981511866045325,1.5683848077817868,4.089432502816917,5.174614312565711,1.053285115963821,3.900761160025941
KIC8570577,1.6016193542896169,0.784167884954109,3.521716187382564,4.951413973956101,1.6138823743022757,4.152425990618037,5.063788174747417,1.06340975194457,3.854257493772567
KIC8570823,1.567893576314073,0.7990850611002377,3.3489088585572726,4.647943131860298,1.6278084053370416,3.992546005981805,4.926694728665463,1.1046112597109743,3.9077250342069374
KIC8571171,1.5809495274084957,0.7543946557574627,3.537722128991754,4.932451836582161,1.5912822559143822,4.0564089466402695,5.110260524419149,1.0465642346408666,3.627298291615511
KIC8571469,1.526036393682973,0.7704280597085165,3.776831064477773,5.113321281652308,1.5396520984310544,4.034961161750849,5.258326935963903,1.0228443096016275,3.771928105155446
KIC8571762,1.5771728664714522,0.7609953336611195,3.662793830636258,5.058531439925988,1.553698122399242,4.00250619449279,5.236549453726984,1.0688168798464124,3.507660848247966
KIC8572364,2.1450928399887688,1.0545805085584776,2.190024124646605,4.261460501415081,2.151388353654018,3.8374211980751753,4.385301611352033,1.5508217059736882,3.262977627023815
KIC8573846,1.9808434872322247,1.0513173729202134,2.464787748996507,4.465322122082282,1.983366772357634,4.764362235679341,4.640527153552816,1.387250671201174,3.521906015948859
KIC8573996,1.4924788389111885,0.6912695177335941,3.70353375506893,5.200239330666496,1.50203630851641,4.349189775376132,5.147371828289015,0.9517516887901198,3.0287132629969977
KIC8574234,2.0758742860268047,0.9944856835105422,2.8417028230857047,4.565625965328285,2.1049979132452497,4.877810274175,4.649299779471606,1.4897968465233478,3.7675769075628938
KIC8574456,1.7469220488685795,0.9750194148281642,2.942626959732498,4.401867470091129,1.8018010040234125,3.931826788347646,4.750179010691807,1.2590051180841275,3.868810369159875
KIC8575147,1.735793059899465,0.9541408205060936,3.0700854538974194,4.571031498069347,1.7474325792767766,3.9212386031562416,4.86250106936159,1.17407426305776,3.2014311550048067
KIC8579095,2.184690412410266,1.1306764116315051,2.53800710892448,4.59924634515125,2.200215005743684,2.4352177182823658,4.417530231422518,1.6197331055640716,4.424619307115673
KIC8579328,2.348567855387233,1.1886900676825425,2.243884926858699,4.3109335148808245,2.317813243437392,2.557882467448243,4.195182619936696,1.7523675054955434,4.360700521426372
KIC8583313,2.1802784802599904,1.04005810640079,2.646392995348266,4.462792153908002,2.2073407718424134,4.774772407932659,4.467879346823482,1.6148051385624067,4.469792104886336
KIC8583586,1.6550816843004066,0.9568060030097714,2.6964122800152115,4.435895859786928,1.7035524296309754,3.9604102695954126,4.639057293512501,1.220103603117849,4.415115575944701
KIC8584513,1.761018326923316,0.9106245571842434,3.074222268509061,4.557467635645351,1.7052085303791853,3.8736275714633814,4.744326446781018,1.1726751205710542,2.6599842535946943
